"anio","mes","ipc_mensual"
"2002","1","0.0640033268323113"
"2002","2","0.0660098413854477"
"2002","3","0.0686253619531142"
"2002","4","0.0757539376179309"
"2002","5","0.0787925571009553"
"2002","6","0.0816452694848074"
"2002","7","0.0842479688732206"
"2002","8","0.0862224304782239"
"2002","9","0.0873827472006446"
"2002","10","0.0875750648894436"
"2002","11","0.0880238061633079"
"2002","12","0.0881904814936004"
"2003","1","0.0893507982160211"
"2003","2","0.0898572347965252"
"2003","3","0.0903829031459091"
"2003","4","0.0904341878629222"
"2003","5","0.0900816054334574"
"2003","6","0.0900046783579378"
"2003","7","0.0904085455044157"
"2003","8","0.0904277772732956"
"2003","9","0.0904662408110554"
"2003","10","0.090998319750066"
"2003","11","0.0912226903869982"
"2003","12","0.0914150080757972"
"2004","1","0.0917996434533952"
"2004","2","0.0918893917081681"
"2004","3","0.0924407024160586"
"2004","4","0.0932292049401345"
"2004","5","0.0937869262376517"
"2004","6","0.0944408063795683"
"2004","7","0.0948767264741794"
"2004","8","0.0952036665451377"
"2004","9","0.0958062619700413"
"2004","10","0.0961844867580127"
"2004","11","0.0961844867580127"
"2004","12","0.0969922210509686"
"2005","1","0.0984281931273345"
"2005","2","0.099364139212823"
"2005","3","0.100896270133588"
"2005","4","0.101389885534839"
"2005","5","0.10199889154937"
"2005","6","0.102934837634858"
"2005","7","0.103966942564746"
"2005","8","0.104422094428237"
"2005","9","0.105640106457297"
"2005","10","0.106460661929507"
"2005","11","0.10774919044446"
"2005","12","0.10894797070464"
"2006","1","0.11033906865362"
"2006","2","0.110774988748231"
"2006","3","0.112108391390571"
"2006","4","0.113198191627099"
"2006","5","0.113730270566109"
"2006","6","0.114281581274"
"2006","7","0.114986746132929"
"2006","8","0.115634215685219"
"2006","9","0.116672731204734"
"2006","10","0.117672783186489"
"2006","11","0.118506159837951"
"2006","12","0.119666476560372"
"2007","1","0.12146144165583"
"2007","2","0.122557652481984"
"2007","3","0.124269279912295"
"2007","4","0.12725020408868"
"2007","5","0.129795208170453"
"2007","6","0.133045377111157"
"2007","7","0.135833983598742"
"2007","8","0.140045740983441"
"2007","9","0.142430480324548"
"2007","10","0.144706239642003"
"2007","11","0.147456382591829"
"2007","12","0.150405253820081"
"2008","1","0.153565674506011"
"2008","2","0.155559367879894"
"2008","3","0.160540396019789"
"2008","4","0.164072630904064"
"2008","5","0.166694562061357"
"2008","6","0.170194743997499"
"2008","7","0.173771853009161"
"2008","8","0.177246392586796"
"2008","9","0.179727290772304"
"2008","10","0.181701752377307"
"2008","11","0.182977459713007"
"2008","12","0.18499038485577"
"2009","1","0.187804633701862"
"2009","2","0.18944574464628"
"2009","3","0.191708682784482"
"2009","4","0.193971620922684"
"2009","5","0.19540759299905"
"2009","6","0.196651247386617"
"2009","7","0.199080860855111"
"2009","8","0.201722023781284"
"2009","9","0.204074710174259"
"2009","10","0.206196615340674"
"2009","11","0.20892752652162"
"2009","12","0.212664900273948"
"2010","1","0.217658749593095"
"2010","2","0.224030875681969"
"2010","3","0.230473518256736"
"2010","4","0.234512189721516"
"2010","5","0.237281564440221"
"2010","6","0.241083044088815"
"2010","7","0.245666615671858"
"2010","8","0.249403989424186"
"2010","9","0.252769548978169"
"2010","10","0.259212191552935"
"2010","11","0.262507234621025"
"2010","12","0.266148449528953"
"2011","1","0.271853874296657"
"2011","2","0.27582843986517"
"2011","3","0.281283851637435"
"2011","4","0.286784137537087"
"2011","5","0.291694649191089"
"2011","6","0.295079440513951"
"2011","7","0.298900151931425"
"2011","8","0.303868358892066"
"2011","9","0.309067347079266"
"2011","10","0.313522706869776"
"2011","11","0.318157563169833"
"2011","12","0.324004020909323"
"2012","1","0.329735088035533"
"2012","2","0.335190499807799"
"2012","3","0.343152452124078"
"2012","4","0.351197742105503"
"2012","5","0.358980197912236"
"2012","6","0.365012562750899"
"2012","7","0.371051338179188"
"2012","8","0.378333767995044"
"2012","9","0.385430290711727"
"2012","10","0.392219105126332"
"2012","11","0.399584872607335"
"2012","12","0.410591854996265"
"2013","1","0.423432266018412"
"2013","2","0.428804340125531"
"2013","3","0.43621498173392"
"2013","4","0.443567928035669"
"2013","5","0.450882410799658"
"2013","6","0.46011365986201"
"2013","7","0.469774418429347"
"2013","8","0.477960741382559"
"2013","9","0.486397077331209"
"2013","10","0.495886926698891"
"2013","11","0.508324270851126"
"2013","12","0.523097022577221"
"2014","1","0.55426598970838"
"2014","2","0.57119635691232"
"2014","3","0.590210165744915"
"2014","4","0.605268640777878"
"2014","5","0.621224598358569"
"2014","6","0.637052344146728"
"2014","7","0.655495610502554"
"2014","8","0.671778316473874"
"2014","9","0.689004558346364"
"2014","10","0.701850584092742"
"2014","11","0.712543447589967"
"2014","12","0.725486428046141"
"2015","1","0.740993644352968"
"2015","2","0.749846668627349"
"2015","3","0.76387944932005"
"2015","4","0.779232811475838"
"2015","5","0.794631047759012"
"2015","6","0.808740755527233"
"2015","7","0.8229338009606"
"2015","8","0.83723582641762"
"2015","9","0.852396870884609"
"2015","10","0.86846821907858"
"2015","11","0.889366741261406"
"2015","12","0.9240520441706"
"2016","1","0.961938177981595"
"2016","2","1.00041570510086"
"2016","3","1.03543025477939"
"2016","4","1.10273322134005"
"2016","5","1.15786988240705"
"2016","6","1.19492171864408"
"2016","7","1.22120999645425"
"2016","8","1.22365241644716"
"2016","9","1.23711259302807"
"2016","10","1.26680329526075"
"2016","11","1.28707214798492"
"2016","12","1.30251701376074"
"2017","1","1.32317363108197"
"2017","2","1.35052648837095"
"2017","3","1.38259054969869"
